"Freq [GHz]","Phi [deg]","Theta [deg]","mag(rEL3X) [V]","mag(rEL3Y) [V]"
82,0,0,48.1248214072935,0.00429517047580398
82,0,1,48.0277981606356,0.00427238179552332
82,0,2,47.7375338769762,0.00421548788018316
82,0,3,47.2573661421852,0.00412681584516523
82,0,4,46.5928040738261,0.00400927391773032
82,0,5,45.7514493279788,0.00386638457014604
82,0,6,44.7428881474377,0.00370233565795523
82,0,7,43.5785569972222,0.00352205483888476
82,0,8,42.2715849341482,0.00333130992054768
82,0,9,40.8366163610632,0.00313682900282442
82,0,10,39.2896181973032,0.00294641276165167
82,0,11,37.6476757231701,0.00276896776963462
82,0,12,35.9287813854216,0.00261432022415312
82,0,13,34.1516206232766,0.00249260038746337
82,0,14,32.3353582039559,0.00241301764461613
82,0,15,30.4994275186956,0.00238212594946139
82,0,16,28.6633236105492,0.00240219333596181
82,0,17,26.8463981580152,0.0024705770221885
82,0,18,25.0676509691132,0.00258053312497401
82,0,19,23.3455075538238,0.00272296859240641
82,0,20,21.6975661188618,0.00288821502778004
82,0,21,20.1402906534371,0.00306723247595815
82,0,22,18.6886218398894,0.00325217431884676
82,0,23,17.3554787521721,0.00343651402762295
82,0,24,16.1511386301304,0.00361495247841937
82,0,25,15.0825170876579,0.00378324892791098
82,0,26,14.1524295220282,0.00393804682423046
82,0,27,13.358984250324,0.00407672175793486
82,0,28,12.695305838287,0.00419725755768083
82,0,29,12.1497684870644,0.00429814804846566
82,0,30,11.7068102343232,0.00437831956123261
82,0,31,11.3482300096102,0.00443706930839276
82,0,32,11.0547220991219,0.00447401556019127
82,0,33,10.8073521394433,0.00448905648993172
82,0,34,10.5887396846719,0.00448233536855934
82,0,35,10.3838352234171,0.00445421042733057
82,0,36,10.1802975373553,0.00440522818561921
82,0,37,9.96855032727103,0.00433609939150076
82,0,38,9.74162089099754,0.00424767697628073
82,0,39,9.49485456972265,0.0041409356076505
82,0,40,9.22557561346071,0.00401695255873779
82,0,41,8.93274087849893,0.0038768897062805
82,0,42,8.61661321994435,0.00372197654113517
82,0,43,8.27846784991181,0.00355349412474333
82,0,44,7.92033644189732,0.00337275996188379
82,0,45,7.54478894439382,0.00318111378566615
82,0,46,7.15475062178936,0.00297990426860476
82,0,47,6.75335080695712,0.00277047668548683
82,0,48,6.34379959371623,0.00255416156145535
82,0,49,5.92928883194943,0.00233226434510323
82,0,50,5.51291409288852,0.00210605615419122
82,0,51,5.09761462916754,0.00187676565900098
82,0,52,4.68612870626885,0.00164557221151013
82,0,53,4.28096200513417,0.00141360044299272
82,0,54,3.88436708404167,0.00118191687664237
82,0,55,3.4983321447186,0.000951530126262628
82,0,56,3.12457758185894,0.000723400111809988
82,0,57,2.76455902090559,0.000498480808826573
82,0,58,2.4194757902672,0.000277973143198577
82,0,59,2.09028407949458,6.84659842335999E-05
82,0,60,1.77771451753009,0.000157065932933764
82,0,61,1.48229486553178,0.000360934175490343
82,0,62,1.20438086002246,0.000560263025120672
82,0,63,0.944205095283676,0.00075330320597937
82,0,64,0.70197826801858,0.000939489201914503
82,0,65,0.478189984180509,0.00111846240764266
82,0,66,0.27503766777027,0.00128995975950739
